key_id,match_date,Timeliness_Result
1,1930-07-13,Fail
2,1930-07-13,Fail
3,1930-07-13,Fail
4,1930-07-13,Fail
5,1930-07-13,Fail
6,1930-07-13,Fail
7,1930-07-13,Fail
8,1930-07-13,Fail
9,1930-07-14,Fail
10,1930-07-14,Fail
11,1930-07-14,Fail
12,1930-07-14,Fail
13,1930-07-14,Fail
14,1930-07-14,Fail
15,1930-07-14,Fail
16,1930-07-15,Fail
17,1930-07-16,Fail
18,1930-07-16,Fail
19,1930-07-16,Fail
20,1930-07-17,Fail
21,1930-07-17,Fail
22,1930-07-17,Fail
23,1930-07-17,Fail
24,1930-07-17,Fail
25,1930-07-17,Fail
26,1930-07-17,Fail
27,1930-07-18,Fail
28,1930-07-19,Fail
29,1930-07-19,Fail
30,1930-07-19,Fail
31,1930-07-19,Fail
32,1930-07-19,Fail
33,1930-07-19,Fail
34,1930-07-19,Fail
35,1930-07-19,Fail
36,1930-07-19,Fail
37,1930-07-19,Fail
38,1930-07-20,Fail
39,1930-07-20,Fail
40,1930-07-20,Fail
41,1930-07-20,Fail
42,1930-07-20,Fail
43,1930-07-21,Fail
44,1930-07-21,Fail
45,1930-07-21,Fail
46,1930-07-21,Fail
47,1930-07-22,Fail
48,1930-07-22,Fail
49,1930-07-22,Fail
50,1930-07-22,Fail
51,1930-07-26,Fail
52,1930-07-26,Fail
53,1930-07-26,Fail
54,1930-07-26,Fail
55,1930-07-26,Fail
56,1930-07-26,Fail
57,1930-07-26,Fail
58,1930-07-27,Fail
59,1930-07-27,Fail
60,1930-07-27,Fail
61,1930-07-27,Fail
62,1930-07-27,Fail
63,1930-07-27,Fail
64,1930-07-27,Fail
65,1930-07-30,Fail
66,1930-07-30,Fail
67,1930-07-30,Fail
68,1930-07-30,Fail
69,1930-07-30,Fail
70,1930-07-30,Fail
71,1934-05-27,Fail
72,1934-05-27,Fail
73,1934-05-27,Fail
74,1934-05-27,Fail
75,1934-05-27,Fail
76,1934-05-27,Fail
77,1934-05-27,Fail
78,1934-05-27,Fail
79,1934-05-27,Fail
80,1934-05-27,Fail
81,1934-05-27,Fail
82,1934-05-27,Fail
83,1934-05-27,Fail
84,1934-05-27,Fail
85,1934-05-27,Fail
86,1934-05-27,Fail
87,1934-05-27,Fail
88,1934-05-27,Fail
89,1934-05-27,Fail
90,1934-05-27,Fail
91,1934-05-27,Fail
92,1934-05-27,Fail
93,1934-05-27,Fail
94,1934-05-27,Fail
95,1934-05-27,Fail
96,1934-05-27,Fail
97,1934-05-27,Fail
98,1934-05-27,Fail
99,1934-05-27,Fail
100,1934-05-27,Fail
101,1934-05-27,Fail
102,1934-05-27,Fail
103,1934-05-27,Fail
104,1934-05-27,Fail
105,1934-05-27,Fail
106,1934-05-27,Fail
107,1934-05-27,Fail
108,1934-05-27,Fail
109,1934-05-27,Fail
110,1934-05-27,Fail
111,1934-05-27,Fail
112,1934-05-27,Fail
113,1934-05-27,Fail
114,1934-05-31,Fail
