key_id,match_date,Timeliness_Result
1,1982-07-08,Pass
2,1982-07-08,Pass
3,1982-07-08,Pass
4,1982-07-08,Pass
5,1982-07-08,Pass
6,1982-07-08,Pass
7,1982-07-08,Pass
8,1982-07-08,Pass
9,1982-07-08,Pass
10,1982-07-08,Pass
11,1982-07-08,Pass
12,1982-07-08,Pass
13,1986-06-21,Pass
14,1986-06-21,Pass
15,1986-06-21,Pass
16,1986-06-21,Pass
17,1986-06-21,Pass
18,1986-06-21,Pass
19,1986-06-21,Pass
20,1986-06-21,Pass
21,1986-06-21,Pass
22,1986-06-21,Pass
23,1986-06-21,Pass
24,1986-06-21,Pass
25,1986-06-21,Pass
26,1986-06-21,Pass
27,1986-06-21,Pass
28,1986-06-21,Pass
29,1986-06-21,Pass
30,1986-06-22,Pass
31,1986-06-22,Pass
32,1986-06-22,Pass
33,1986-06-22,Pass
34,1986-06-22,Pass
35,1986-06-22,Pass
36,1986-06-22,Pass
37,1986-06-22,Pass
38,1986-06-22,Pass
39,1986-06-22,Pass
40,1990-06-25,Pass
41,1990-06-25,Pass
42,1990-06-25,Pass
43,1990-06-25,Pass
44,1990-06-25,Pass
45,1990-06-25,Pass
46,1990-06-25,Pass
47,1990-06-25,Pass
48,1990-06-25,Pass
49,1990-06-25,Pass
50,1990-06-30,Pass
51,1990-06-30,Pass
52,1990-06-30,Pass
53,1990-06-30,Pass
54,1990-06-30,Pass
55,1990-06-30,Pass
56,1990-06-30,Pass
57,1990-06-30,Pass
58,1990-06-30,Pass
59,1990-06-30,Pass
60,1990-07-03,Pass
61,1990-07-03,Pass
62,1990-07-03,Pass
63,1990-07-03,Pass
64,1990-07-03,Pass
65,1990-07-03,Pass
66,1990-07-03,Pass
67,1990-07-03,Pass
68,1990-07-03,Pass
69,1990-07-04,Pass
70,1990-07-04,Pass
71,1990-07-04,Pass
72,1990-07-04,Pass
73,1990-07-04,Pass
74,1990-07-04,Pass
75,1990-07-04,Pass
76,1990-07-04,Pass
77,1990-07-04,Pass
78,1994-07-05,Pass
79,1994-07-05,Pass
80,1994-07-05,Pass
81,1994-07-05,Pass
82,1994-07-05,Pass
83,1994-07-05,Pass
84,1994-07-05,Pass
85,1994-07-05,Pass
86,1994-07-10,Pass
87,1994-07-10,Pass
88,1994-07-10,Pass
89,1994-07-10,Pass
90,1994-07-10,Pass
91,1994-07-10,Pass
92,1994-07-10,Pass
93,1994-07-10,Pass
94,1994-07-10,Pass
95,1994-07-10,Pass
96,1994-07-10,Pass
97,1994-07-10,Pass
98,1994-07-17,Pass
99,1994-07-17,Pass
100,1994-07-17,Pass
101,1994-07-17,Pass
102,1994-07-17,Pass
103,1994-07-17,Pass
104,1994-07-17,Pass
105,1994-07-17,Pass
106,1994-07-17,Pass
107,1998-06-30,Pass
108,1998-06-30,Pass
109,1998-06-30,Pass
110,1998-06-30,Pass
111,1998-06-30,Pass
112,1998-06-30,Pass
113,1998-06-30,Pass
114,1998-06-30,Pass
115,1998-06-30,Pass
116,1998-06-30,Pass
117,1998-07-03,Pass
118,1998-07-03,Pass
119,1998-07-03,Pass
120,1998-07-03,Pass
121,1998-07-03,Pass
122,1998-07-03,Pass
123,1998-07-03,Pass
124,1998-07-03,Pass
125,1998-07-03,Pass
126,1998-07-03,Pass
127,1998-07-07,Pass
128,1998-07-07,Pass
129,1998-07-07,Pass
130,1998-07-07,Pass
131,1998-07-07,Pass
132,1998-07-07,Pass
133,1998-07-07,Pass
134,1998-07-07,Pass
135,2002-06-16,Pass
136,2002-06-16,Pass
137,2002-06-16,Pass
138,2002-06-16,Pass
139,2002-06-16,Pass
140,2002-06-16,Pass
141,2002-06-16,Pass
142,2002-06-16,Pass
143,2002-06-16,Pass
144,2002-06-16,Pass
145,2002-06-22,Pass
146,2002-06-22,Pass
147,2002-06-22,Pass
148,2002-06-22,Pass
149,2002-06-22,Pass
150,2002-06-22,Pass
151,2002-06-22,Pass
152,2002-06-22,Pass
153,2002-06-22,Pass
154,2006-06-26,Pass
155,2006-06-26,Pass
156,2006-06-26,Pass
157,2006-06-26,Pass
158,2006-06-26,Pass
159,2006-06-26,Pass
160,2006-06-26,Pass
161,2006-06-30,Pass
162,2006-06-30,Pass
163,2006-06-30,Pass
164,2006-06-30,Pass
165,2006-06-30,Pass
166,2006-06-30,Pass
167,2006-06-30,Pass
168,2006-06-30,Pass
169,2006-07-01,Pass
170,2006-07-01,Pass
171,2006-07-01,Pass
172,2006-07-01,Pass
173,2006-07-01,Pass
174,2006-07-01,Pass
175,2006-07-01,Pass
176,2006-07-01,Pass
177,2006-07-01,Pass
178,2006-07-09,Pass
179,2006-07-09,Pass
180,2006-07-09,Pass
181,2006-07-09,Pass
182,2006-07-09,Pass
183,2006-07-09,Pass
184,2006-07-09,Pass
185,2006-07-09,Pass
186,2006-07-09,Pass
187,2010-06-29,Pass
188,2010-06-29,Pass
189,2010-06-29,Pass
190,2010-06-29,Pass
191,2010-06-29,Pass
192,2010-06-29,Pass
193,2010-06-29,Pass
194,2010-06-29,Pass
195,2010-06-29,Pass
196,2010-07-02,Pass
197,2010-07-02,Pass
198,2010-07-02,Pass
199,2010-07-02,Pass
200,2010-07-02,Pass
201,2010-07-02,Pass
202,2010-07-02,Pass
203,2010-07-02,Pass
204,2010-07-02,Pass
205,2014-06-28,Pass
206,2014-06-28,Pass
207,2014-06-28,Pass
208,2014-06-28,Pass
209,2014-06-28,Pass
210,2014-06-28,Pass
211,2014-06-28,Pass
212,2014-06-28,Pass
213,2014-06-28,Pass
214,2014-06-28,Pass
215,2014-06-29,Pass
216,2014-06-29,Pass
217,2014-06-29,Pass
218,2014-06-29,Pass
219,2014-06-29,Pass
220,2014-06-29,Pass
221,2014-06-29,Pass
222,2014-06-29,Pass
223,2014-06-29,Pass
224,2014-07-05,Pass
225,2014-07-05,Pass
226,2014-07-05,Pass
227,2014-07-05,Pass
228,2014-07-05,Pass
229,2014-07-05,Pass
230,2014-07-05,Pass
231,2014-07-05,Pass
232,2014-07-05,Pass
233,2014-07-09,Pass
234,2014-07-09,Pass
235,2014-07-09,Pass
236,2014-07-09,Pass
237,2014-07-09,Pass
238,2014-07-09,Pass
239,2014-07-09,Pass
240,2014-07-09,Pass
241,2018-07-01,Pass
242,2018-07-01,Pass
243,2018-07-01,Pass
244,2018-07-01,Pass
245,2018-07-01,Pass
246,2018-07-01,Pass
247,2018-07-01,Pass
248,2018-07-01,Pass
249,2018-07-01,Pass
250,2018-07-01,Pass
251,2018-07-01,Pass
252,2018-07-01,Pass
253,2018-07-01,Pass
254,2018-07-01,Pass
255,2018-07-01,Pass
256,2018-07-01,Pass
257,2018-07-01,Pass
258,2018-07-01,Pass
259,2018-07-01,Pass
260,2018-07-03,Pass
261,2018-07-03,Pass
262,2018-07-03,Pass
263,2018-07-03,Pass
264,2018-07-03,Pass
265,2018-07-03,Pass
266,2018-07-03,Pass
267,2018-07-03,Pass
268,2018-07-03,Pass
269,2018-07-03,Pass
270,2018-07-07,Pass
271,2018-07-07,Pass
272,2018-07-07,Pass
273,2018-07-07,Pass
274,2018-07-07,Pass
275,2018-07-07,Pass
276,2018-07-07,Pass
277,2018-07-07,Pass
278,2018-07-07,Pass
279,2018-07-07,Pass
